"Target Group";Subcamp;"Original Order Number";Country;"Troop Name";"Kid ID Code"
SC1_G01;1;IST-97908;"Czech Republic";Artemis/Ontario;HYF63iWf-17
SC1_G01;1;IST-13423;Germany;"DPSG Phönix Bonn";30Ymljmn-24
SC1_G01;1;IST-97908;"Czech Republic";Artemis/Ontario;leDe0lJb-18
SC1_G01;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";maszZeTe-1
SC1_G01;1;IST-69112;"Czech Republic";"Dráčata Štěnovice";FDpLAa87-2
SC1_G01;1;IST-13423;Germany;"DPSG Phönix Bonn";HGj0XwN3-23
SC1_G01;1;IST-10147;Poland;"Zawiercie 2";xu5DPbbc-9
SC1_G01;1;IST-10147;Poland;"Zawiercie 2";h2knHKr2-8
SC1_G01;1;IST-20023;"Czech Republic";"Děti přírody";BUhY8ojC-7
SC1_G01;1;IST-20023;"Czech Republic";"Děti přírody";xaHtdcfq-6
SC1_G02;1;;Poland;;8iT66tSx-30
SC1_G02;1;;Poland;;jqFCLinC-31
SC1_G02;1;IST-17338;"United States";"Wiesbaden Troop";q4FP5eQ3-15
SC1_G02;1;IST-17219;Poland;"13WDH patrol starszoharcerski";ZkuLgWFZ-2
SC1_G02;1;IST-17219;Poland;"13WDH patrol starszoharcerski";QDEuZwK6-1
SC1_G02;1;IST-19148;"The Netherlands";"Scouting Polaris";GkrNAJN1-11
SC1_G02;1;IST-96201;Poland;"Czata wymiata";VjaFIuNv-8
SC1_G02;1;IST-19148;"The Netherlands";"Scouting Polaris";0RcQGqn5-10
SC1_G02;1;IST-96201;Poland;"Czata wymiata";40lGejMp-9
SC1_G02;1;IST-17338;"United States";"Wiesbaden Troop";ujCVRaou-14
SC1_G03;1;IST-90673;"The Netherlands";"Sc.Burg.Welschen Meerhoven";L1nvrYm6-1
SC1_G03;1;IST-11133;GB;"DPSG Kempen";LXcQY2N7-177
SC1_G03;1;IST-11133;GB;"DPSG Kempen";8tCP27tn-176
SC1_G03;1;IST-90673;"The Netherlands";"Sc.Burg.Welschen Meerhoven";qT4LasLT-2
SC1_G03;1;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";4xxLsQ0x-19
SC1_G03;1;IST-17335;"The Netherlands";"Scoutinggroep de Meuleberg";FDXtTFeV-8
SC1_G03;1;IST-46593;Germany;"DPSG Wegberg";25tWbYMr-27
SC1_G03;1;IST-46593;Germany;"DPSG Wegberg";qvbugZxk-28
SC1_G03;1;IST-17335;"The Netherlands";"Scoutinggroep de Meuleberg";k1IbD0jR-9
SC1_G03;1;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";A06uX6H3-18
SC1_G04;1;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";cAJesNDj-6
SC1_G04;1;IST-23477;Germany;"DPSG Stamm Alzenau";SLyie1rA-1
SC1_G04;1;IST-23477;Germany;"DPSG Stamm Alzenau";35Q6BgS7-2
SC1_G04;1;IST-19148;"The Netherlands";"Scouting Polaris";TYBiWlTw-4
SC1_G04;1;IST-18992;"The Netherlands";"Scouting St. Martinus";adupDb9z-10
SC1_G04;1;IST-18992;"The Netherlands";"Scouting St. Martinus";tFDwLf9n-9
SC1_G04;1;IST-19148;"The Netherlands";"Scouting Polaris";yJugOI3R-5
SC1_G04;1;IST-10208;"The Netherlands";"Scouting St. Martinus Beek";yHpVd4hz-7
SC1_G04;1;IST-49187;"The Netherlands";"St. Stanislaus";9ExlPqpw-13
SC1_G04;1;IST-49187;"The Netherlands";"St. Stanislaus";NWch4T8e-12
SC1_G04;1;IST-23477;Germany;"DPSG Stamm Alzenau";Ze7nZp0l-3
SC1_G05;1;IST-12821;"United States";"Atomic Tacos";ZlYlue7n-8
SC1_G05;1;IST-11133;Germany;"DPSG Kempen";AfckzcLS-62
SC1_G05;1;IST-11133;Germany;"DPSG Kempen";lr5okF81-63
SC1_G05;1;IST-17058;"United States";"St. Bernhard";DjZ2yyQ1-16
SC1_G05;1;IST-17058;"United States";"St. Bernhard";S8r6RDhH-17
SC1_G05;1;IST-21261;Germany;"DPSG Moers St. Josef";UNFBk3U7-11
SC1_G05;1;IST-21261;Germany;"DPSG Moers St. Josef";6RJozKjN-10
SC1_G05;1;IST-32540;"Czech Republic";Platan;7INzOgSS-14
SC1_G05;1;IST-32540;"Czech Republic";Platan;5Ut8Fwn4-13
SC1_G05;1;IST-12821;"United States";"Atomic Tacos";wdfHesyr-7
SC1_G06;1;IST-37418;"United States";"SHAPE Troop 325B";mbQtRx9O-1
SC1_G06;1;IST-10548;Poland;"Polish Eagles";IuxU4lvS-13
SC1_G06;1;IST-37418;"United States";"SHAPE Troop 325B";kukCQkpM-2
SC1_G06;1;IST-97908;"Czech Republic";Artemis/Ontario;UwfZMt2S-20
SC1_G06;1;IST-11256;GB;"1st Maisons-Laffitte International";CBJNTLfj-1
SC1_G06;1;IST-97908;"Czech Republic";Artemis/Ontario;4GZbkh9k-19
SC1_G06;1;IST-11256;GB;"1st Maisons-Laffitte International";0QNpckja-2
SC1_G06;1;IST-92152;"Czech Republic";"Orion Kladno";LO7YLEDv-3
SC1_G06;1;IST-10548;Poland;"Polish Eagles";u7n32Thn-12
SC1_G06;1;IST-92152;"Czech Republic";"Orion Kladno";mAeOkJkB-4
SC1_G07;1;IST-20023;"Czech Republic";"Děti přírody";C7tLnYWv-9
SC1_G07;1;IST-10147;Poland;"Zawiercie 2";VPCCYEOC-11
SC1_G07;1;IST-10147;Poland;"Zawiercie 2";EQPsKKSc-10
SC1_G07;1;IST-97382;"The Netherlands";"Scouting Ewijk";rV9Fgb9P-1
SC1_G07;1;IST-97382;"The Netherlands";"Scouting Ewijk";fiuXEz9M-2
SC1_G07;1;IST-23477;Luxembourg;"DPSG Stamm Alzenau";HPhmROEc-18
SC1_G07;1;IST-23477;Luxembourg;"DPSG Stamm Alzenau";Vc68gGum-19
SC1_G07;1;IST-20023;"Czech Republic";"Děti přírody";XQDb4BSe-8
SC1_G07;1;;Poland;;0qm2GRIm-32
SC1_G07;1;;Poland;;zZ6k3HFb-33
SC1_G08;1;IST-54943;"Czech Republic";"AD FONTES";lMXLV4To-16
SC1_G08;1;IST-18979;Belgium;"Central Brussels Scouts";aBiSXvZm-1
SC1_G08;1;IST-18979;Belgium;"Central Brussels Scouts";8k5guB5e-2
SC1_G08;1;IST-54943;"Czech Republic";"AD FONTES";hMiAyOvO-15
SC1_G08;1;IST-46593;Germany;"DPSG Wegberg";O5zAXxJe-22
SC1_G08;1;IST-18979;Belgium;"Central Brussels Scouts";xj4dZMFw-3
SC1_G08;1;IST-17682;Germany;"DPSG St. Rochus";po4hXChw-8
SC1_G08;1;IST-11133;Germany;"DPSG Kempen";rdyOYZUR-43
SC1_G08;1;IST-11133;Germany;"DPSG Kempen";c1G8j0EQ-42
SC1_G08;1;IST-17682;Germany;"DPSG St. Rochus";giEHCmlN-9
SC1_G08;1;IST-46593;Germany;"DPSG Wegberg";jBYTRkZY-21
SC1_G09;1;IST-19969;"United States";"White Roses / USA girl scouts overseas";rsV67Ujs-5
SC1_G09;1;IST-19969;"United States";"White Roses / USA girl scouts overseas";cultO5Ik-6
SC1_G09;1;IST;Poland;Feniksiaki ;prI0rnJ8-4
SC1_G09;1;IST-12821;"United States";"Atomic Tacos";WWMTxL0Y-1
SC1_G09;1;IST-12821;"United States";"Atomic Tacos";RXzQOyc5-2
SC1_G09;1;IST;Poland;Feniksiaki ;eUqczfK1-3
SC1_G09;1;IST-51638;"United States";"Scouting America Troop 325G";DTLka0vQ-2
SC1_G09;1;IST-51638;"United States";"Scouting America Troop 325G";DJfcbxlL-1
SC1_G09;1;IST-13515;France;"Scout du Florival";tBgPUInY-1
